name;frameIndex;frameTime;pcm_fftMag[0];pcm_fftMag[1];pcm_fftMag[2];pcm_fftMag[3];pcm_fftMag[4];pcm_fftMag[5];pcm_fftMag[6];pcm_fftMag[7];pcm_fftMag[8];pcm_fftMag[9];pcm_fftMag[10];pcm_fftMag[11];pcm_fftMag[12];pcm_fftMag[13];pcm_fftMag[14];pcm_fftMag[15];pcm_fftMag[16];pcm_fftMag[17];pcm_fftMag[18];pcm_fftMag[19];pcm_fftMag[20];pcm_fftMag[21];pcm_fftMag[22];pcm_fftMag[23];pcm_fftMag[24];pcm_fftMag[25];pcm_fftMag[26];pcm_fftMag[27];pcm_fftMag[28];pcm_fftMag[29];pcm_fftMag[30];pcm_fftMag[31];pcm_fftMag[32]
'test/1khz.wav';20;0.160000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';21;0.168000;2.482796e-03;2.702750e-03;4.106919e-03;7.013079e-03;1.192127e-02;2.300893e-02;6.337563e-02;5.950223e+00;1.368039e+01;5.950183e+00;6.379971e-02;2.361366e-02;1.228115e-02;7.506997e-03;5.303131e-03;3.943082e-03;2.760757e-03;1.997258e-03;1.820533e-03;1.680279e-03;1.327888e-03;1.095141e-03;1.463916e-03;7.004748e-02;1.628500e-01;7.028341e-02;1.257492e-03;7.182676e-04;3.802849e-04;5.084876e-04;6.433545e-04;4.684346e-04;1.827235e-04
'test/1khz.wav';22;0.176000;2.123321e-03;2.713503e-03;4.300649e-03;6.995838e-03;1.188924e-02;2.307869e-02;6.333113e-02;5.950385e+00;1.368039e+01;5.950022e+00;6.384446e-02;2.353748e-02;1.230481e-02;7.563422e-03;5.177553e-03;3.798091e-03;2.872916e-03;2.205125e-03;1.763034e-03;1.510972e-03;1.347552e-03;1.230391e-03;1.415951e-03;7.020871e-02;1.628500e-01;7.012167e-02;1.292873e-03;7.181078e-04;4.528367e-04;3.419230e-04;3.816786e-04;4.881206e-04;5.421987e-04
'test/1khz.wav';23;0.184000;2.025894e-03;2.934376e-03;4.285350e-03;6.811843e-03;1.198306e-02;2.302495e-02;6.325527e-02;5.950152e+00;1.368039e+01;5.950255e+00;6.391951e-02;2.360456e-02;1.220882e-02;7.711252e-03;5.228508e-03;3.540497e-03;2.910226e-03;2.392536e-03;1.673907e-03;1.523331e-03;1.437888e-03;1.048211e-03;1.378953e-03;6.997588e-02;1.628498e-01;7.035594e-02;1.385215e-03;6.698165e-04;4.092402e-04;6.004574e-04;3.528094e-04;4.036651e-04;6.396257e-04
'test/1khz.wav';24;0.192000;2.213186e-03;2.826539e-03;4.366138e-03;6.774398e-03;1.167000e-02;2.330449e-02;6.353924e-02;5.950553e+00;1.368039e+01;5.949853e+00;6.363411e-02;2.331945e-02;1.253794e-02;7.745861e-03;5.074742e-03;3.754793e-03;2.841031e-03;2.160982e-03;1.899434e-03;1.512932e-03;1.092028e-03;1.343168e-03;1.698181e-03;7.037763e-02;1.628495e-01;6.995320e-02;1.196874e-03;4.451264e-04;5.812636e-04;6.380204e-04;4.193274e-04;3.576979e-04;4.523341e-04
'test/1khz.wav';25;0.200000;2.019972e-03;3.023367e-03;4.037581e-03;7.125751e-03;1.156872e-02;2.329193e-02;6.329855e-02;5.950192e+00;1.368039e+01;5.950214e+00;6.388109e-02;2.332081e-02;1.262724e-02;7.420273e-03;5.394070e-03;3.596958e-03;2.912583e-03;2.230443e-03;1.715479e-03;1.660004e-03;1.088709e-03;1.457819e-03;1.296221e-03;7.001825e-02;1.628496e-01;7.031584e-02;1.267579e-03;6.230922e-04;7.096418e-04;3.320472e-04;6.542385e-04;1.919759e-04;6.455477e-04
'test/1khz.wav';26;0.208000;2.203925e-03;2.781672e-03;4.314929e-03;6.937951e-03;1.181166e-02;2.306161e-02;6.339393e-02;5.950313e+00;1.368039e+01;5.950094e+00;6.378242e-02;2.355812e-02;1.238424e-02;7.608857e-03;5.136412e-03;3.717743e-03;2.844203e-03;2.262042e-03;1.837408e-03;1.510103e-03;1.273605e-03;1.170552e-03;1.450800e-03;7.013594e-02;1.628503e-01;7.019468e-02;1.217078e-03;6.931060e-04;5.005048e-04;4.224730e-04;4.213925e-04;4.477132e-04;4.615949e-04
'test/1khz.wav';27;0.216000;2.237815e-03;2.774776e-03;4.259805e-03;6.880787e-03;1.179201e-02;2.308853e-02;6.344493e-02;5.950274e+00;1.368039e+01;5.950133e+00;6.373104e-02;2.352831e-02;1.239681e-02;7.657939e-03;5.193044e-03;3.748381e-03;2.832728e-03;2.220174e-03;1.796156e-03;1.499717e-03;1.305163e-03;1.229036e-03;1.507641e-03;7.009710e-02;1.628502e-01;7.023308e-02;1.177225e-03;7.012583e-04;5.583109e-04;4.903849e-04;4.530584e-04;4.333344e-04;4.277045e-04
'test/1khz.wav';28;0.224000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';29;0.232000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';30;0.240000;2.232826e-03;2.766848e-03;4.246764e-03;6.863829e-03;1.177360e-02;2.307137e-02;6.343167e-02;5.950281e+00;1.368039e+01;5.950126e+00;6.374489e-02;2.354691e-02;1.241755e-02;7.677901e-03;5.209257e-03;3.758302e-03;2.834395e-03;2.212597e-03;1.779436e-03;1.474918e-03;1.274453e-03;1.196162e-03;1.480046e-03;7.010421e-02;1.628500e-01;7.022561e-02;1.177054e-03;6.990290e-04;5.573903e-04;4.916232e-04;4.562929e-04;4.378796e-04;4.326940e-04
'test/1khz.wav';31;0.248000;2.043179e-03;3.001689e-03;4.096562e-03;6.971542e-03;1.185644e-02;2.291632e-02;6.365995e-02;5.950417e+00;1.368039e+01;5.949990e+00;6.351598e-02;2.369639e-02;1.235802e-02;7.540181e-03;5.395677e-03;3.555382e-03;2.903403e-03;2.307246e-03;1.594135e-03;1.694453e-03;1.216684e-03;1.165081e-03;1.707370e-03;7.023899e-02;1.628508e-01;7.008959e-02;9.798297e-04;9.019753e-04;3.914223e-04;5.773557e-04;5.390916e-04;2.725997e-04;6.223402e-04
'test/1khz.wav';32;0.256000;2.156026e-03;2.724002e-03;4.322327e-03;6.866582e-03;1.169965e-02;2.321245e-02;6.347980e-02;5.950524e+00;1.368039e+01;5.949883e+00;6.369585e-02;2.341814e-02;1.249320e-02;7.636400e-03;5.143108e-03;3.960842e-03;2.861026e-03;1.954263e-03;1.808117e-03;1.677306e-03;1.206403e-03;1.212282e-03;1.548196e-03;7.034834e-02;1.628498e-01;6.998270e-02;1.152323e-03;4.846726e-04;6.081425e-04;6.844925e-04;3.887593e-04;4.555483e-04;5.094934e-04
